id,Churn,genero,tiene +60,posee_pareja,posee_dependientes,tiempo_contrato,servicio_telefono,multiples_lineas,tipo_internet,seguridad_online,backup_online,proteccion_dispositivo,soporte_tecnico,streaming_tv,streaming_peliculas,tipo_contrato,factura_digital,metodo_pago,valor_mensal,total_cobrado
0023-XUOPT,Sí,Femenino,0,Sí,No,13,Sí,Sí,Fiber optic,No,Sí,Sí,No,Sí,No,Mensual,No,Cheque electrónico,94.1,1215.6
0027-KWYKW,No,Femenino,0,Sí,Sí,23,Sí,Sí,Fiber optic,No,No,No,No,Sí,No,Mensual,Yes,Cheque electrónico,83.75,1849.95
0030-FNXPP,No,Femenino,0,No,No,3,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque enviado por correo,19.85,57.2
0031-PVLZI,Sí,Femenino,0,Sí,Sí,4,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque enviado por correo,20.35,76.35
0032-PGELS,Sí,Femenino,0,Sí,Sí,1,No,Sin servicio de teléfono,DSL,Sí,No,No,No,No,No,Mensual,No,Transferencia bancaria (automática),30.5,30.5
0036-IHMOT,No,Femenino,0,Sí,Sí,55,Sí,No,Fiber optic,No,Sí,Sí,Sí,Sí,Sí,Anual,Yes,Transferencia bancaria (automática),103.7,5656.75
0040-HALCW,No,Masculino,0,Sí,Sí,54,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bienal,No,Tarjeta de crédito (automático),20.4,1090.6
0042-JVWOJ,No,Masculino,0,No,No,26,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,Yes,Transferencia bancaria (automática),19.6,471.85
0042-RLHYP,No,Femenino,0,Sí,Sí,69,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bienal,No,Transferencia bancaria (automática),19.7,1396.9
0048-LUMLS,No,Masculino,0,Sí,Sí,37,Sí,No,Fiber optic,No,No,No,No,Sí,Sí,Anual,No,Tarjeta de crédito (automático),91.2,3247.55
0048-PIHNL,No,Femenino,0,Sí,No,49,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Transferencia bancaria (automática),20.45,900.9
0052-DCKON,No,Masculino,0,Sí,No,66,Sí,Sí,Fiber optic,Sí,Sí,Sí,Sí,Sí,Sí,Anual,No,Transferencia bancaria (automática),115.8,7942.15
0052-YNYOT,No,Femenino,0,No,No,67,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Cheque electrónico,20.55,1343.4
0056-EPFBG,No,Masculino,0,Sí,Sí,20,No,Sin servicio de teléfono,DSL,Sí,No,Sí,Sí,No,No,Bienal,Yes,Tarjeta de crédito (automático),39.4,825.4
0057-QBUQH,No,Femenino,0,No,Sí,43,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bienal,Yes,Cheque electrónico,25.1,1070.15
0058-EVZWM,No,Femenino,0,Sí,No,55,Sí,Sí,Fiber optic,Sí,No,No,No,Sí,No,Mensual,Yes,Transferencia bancaria (automática),89.8,4959.6
0060-FUALY,No,Femenino,0,Sí,No,59,Sí,Sí,Fiber optic,Sí,Sí,No,No,Sí,No,Mensual,Yes,Cheque electrónico,94.75,5597.65
0064-SUDOG,No,Femenino,0,Sí,Sí,12,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bienal,No,Transferencia bancaria (automática),20.3,224.5
0064-YIJGF,No,Masculino,0,Sí,Sí,27,Sí,Sí,Fiber optic,No,No,No,No,No,No,Mensual,Yes,Transferencia bancaria (automática),75.75,1929.0
0067-DKWBL,Sí,Masculino,1,No,No,2,Sí,No,DSL,Sí,No,No,No,No,No,Mensual,Yes,Cheque electrónico,49.25,91.1
0068-FIGTF,No,Femenino,0,No,No,27,Sí,No,DSL,No,Sí,Sí,Sí,Sí,Sí,Anual,No,Cheque enviado por correo,78.2,2078.95
0071-NDAFP,No,Masculino,0,Sí,Sí,25,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bienal,No,Tarjeta de crédito (automático),25.5,630.6
0074-HDKDG,No,Masculino,0,Sí,Sí,25,Sí,No,DSL,Sí,Sí,Sí,No,No,No,Anual,Yes,Transferencia bancaria (automática),61.6,1611.0
0076-LVEPS,No,Masculino,0,No,Sí,29,No,Sin servicio de teléfono,DSL,Sí,Sí,Sí,Sí,No,No,Mensual,Yes,Cheque enviado por correo,45.0,1242.45
0078-XZMHT,No,Masculino,0,Sí,No,72,Sí,Sí,DSL,No,Sí,Sí,Sí,Sí,Sí,Bienal,Yes,Transferencia bancaria (automática),85.15,6316.2
0080-EMYVY,No,Femenino,0,No,No,14,Sí,No,DSL,No,Sí,No,No,No,No,Anual,No,Tarjeta de crédito (automático),51.45,727.85
0080-OROZO,No,Femenino,0,No,No,35,Sí,No,Fiber optic,No,No,Sí,Sí,Sí,Sí,Anual,Yes,Cheque electrónico,99.25,3532.0
0082-LDZUE,No,Masculino,0,No,No,1,Sí,No,DSL,No,No,No,No,No,No,Mensual,Yes,Cheque enviado por correo,44.3,44.3
0082-OQIQY,No,Masculino,0,No,No,29,Sí,No,Fiber optic,No,No,No,Sí,Sí,Sí,Mensual,Yes,Cheque electrónico,94.2,2607.6
0083-PIVIK,No,Masculino,0,No,No,64,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,No,Anual,No,Cheque electrónico,81.25,5567.55
0089-IIQKO,No,Femenino,0,Sí,Sí,39,Sí,Sí,Fiber optic,No,No,No,Sí,Sí,Sí,Mensual,Yes,Tarjeta de crédito (automático),99.95,3767.4
0093-EXYQL,No,Femenino,1,No,No,40,Sí,No,Fiber optic,No,No,No,No,Sí,Sí,Mensual,Yes,Cheque electrónico,91.55,3673.6
0093-XWZFY,Sí,Masculino,0,No,No,40,Sí,Sí,Fiber optic,No,Sí,Sí,No,Sí,Sí,Mensual,Yes,Tarjeta de crédito (automático),104.5,4036.85
0094-OIFMO,Sí,Femenino,1,No,No,11,Sí,No,Fiber optic,No,Sí,No,No,Sí,Sí,Mensual,Yes,Cheque electrónico,95.0,1120.3
0096-BXERS,No,Femenino,0,Sí,No,6,Sí,Sí,DSL,No,No,No,No,No,No,Mensual,No,Cheque electrónico,50.35,314.55
0096-FCPUF,No,Masculino,0,No,No,30,Sí,Sí,DSL,Sí,No,No,No,No,Sí,Mensual,Yes,Cheque enviado por correo,64.5,1888.45
0098-BOWSO,No,Masculino,0,No,No,27,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Yes,Cheque electrónico,19.4,529.8
0100-DUVFC,No,Masculino,1,Sí,No,70,Sí,Sí,Fiber optic,No,Sí,Sí,No,Sí,Sí,Anual,Yes,Cheque electrónico,104.8,7308.95
0103-CSITQ,No,Femenino,0,Sí,No,57,Sí,Sí,Fiber optic,No,Sí,Sí,Sí,Sí,Sí,Anual,Yes,Transferencia bancaria (automática),109.4,6252.7
0104-PPXDV,No,Masculino,0,Sí,No,58,Sí,No,DSL,No,No,Sí,No,No,No,Anual,No,Tarjeta de crédito (automático),50.3,2878.55
0106-GHRQR,No,Masculino,0,No,No,16,Sí,Sí,DSL,No,Sí,Sí,No,No,Sí,Mensual,Yes,Transferencia bancaria (automática),71.4,1212.1
0106-UGRDO,No,Femenino,0,Sí,No,69,Sí,Sí,Fiber optic,Sí,Sí,Sí,Sí,Sí,Sí,Bienal,Yes,Cheque electrónico,116.0,8182.85
0107-WESLM,Sí,Masculino,0,No,No,1,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Yes,Cheque electrónico,19.85,19.85
0107-YHINA,Sí,Masculino,0,No,Sí,1,Sí,Sí,Fiber optic,No,No,Sí,No,Sí,Sí,Mensual,Yes,Cheque electrónico,99.75,99.75
0111-KLBQG,No,Masculino,1,Sí,Sí,32,Sí,No,Fiber optic,No,Sí,No,No,Sí,Sí,Mensual,Yes,Cheque enviado por correo,93.95,2861.45
0112-QAWRZ,No,Masculino,0,Sí,Sí,16,Sí,Sí,Fiber optic,No,No,Sí,No,Sí,No,Mensual,Yes,Transferencia bancaria (automática),90.8,1442.2
0112-QWPNC,Sí,Masculino,0,Sí,No,49,Sí,Sí,DSL,Sí,No,Sí,Sí,Sí,Sí,Anual,No,Cheque electrónico,84.35,4059.35
0114-IGABW,No,Femenino,0,Sí,No,71,No,Sin servicio de teléfono,DSL,No,Sí,Sí,Sí,Sí,Sí,Bienal,No,Transferencia bancaria (automática),58.25,4145.9
0114-PEGZZ,No,Femenino,0,No,No,33,Sí,Sí,Fiber optic,No,Sí,Sí,No,Sí,Sí,Mensual,No,Cheque electrónico,107.55,3645.5
0114-RSRRW,No,Femenino,0,Sí,No,10,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Yes,Transferencia bancaria (automática),19.95,187.75
0115-TFERT,Sí,Masculino,0,Sí,No,21,Sí,Sí,Fiber optic,No,Sí,Sí,Sí,Sí,Sí,Mensual,Yes,Cheque electrónico,111.2,2317.1
0117-LFRMW,Sí,Masculino,0,Sí,Sí,37,No,Sin servicio de teléfono,DSL,Sí,Sí,Sí,No,No,No,Mensual,No,Transferencia bancaria (automática),40.2,1448.8
0118-JPNOY,No,Femenino,1,No,No,26,Sí,No,Fiber optic,Sí,No,No,No,Sí,No,Mensual,Yes,Tarjeta de crédito (automático),85.8,2193.65
0121-SNYRK,No,Masculino,0,No,No,50,No,Sin servicio de teléfono,DSL,Sí,No,No,Sí,No,No,Anual,Yes,Cheque enviado por correo,35.4,1748.9
0122-OAHPZ,Sí,Femenino,0,No,No,7,Sí,Sí,Fiber optic,No,No,No,No,No,No,Mensual,Yes,Cheque electrónico,73.85,511.25
0123-CRBRT,No,Femenino,0,Sí,Sí,61,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,Sí,Bienal,No,Cheque enviado por correo,88.1,5526.75
0125-LZQXK,Sí,Masculino,0,No,No,15,Sí,No,Fiber optic,No,No,Sí,Sí,Sí,Sí,Mensual,Yes,Cheque electrónico,101.35,1553.95
0128-MKWSG,No,Femenino,0,No,Sí,26,No,Sin servicio de teléfono,DSL,Sí,No,No,Sí,No,Sí,Mensual,No,Cheque enviado por correo,45.8,1147.0
0129-KPTWJ,No,Masculino,0,Sí,No,72,Sí,No,Fiber optic,No,No,Sí,No,Sí,Sí,Mensual,Yes,Cheque electrónico,94.65,6747.35
0129-QMPDR,No,Masculino,0,Sí,Sí,44,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,Yes,Transferencia bancaria (automática),20.5,865.05
0130-SXOUN,No,Masculino,0,No,No,66,Sí,Sí,Fiber optic,No,Sí,No,No,No,Sí,Mensual,No,Tarjeta de crédito (automático),89.4,5976.9
0133-BMFZO,Sí,Femenino,0,No,No,2,Sí,No,Fiber optic,Sí,Sí,No,Sí,No,No,Mensual,Yes,Cheque electrónico,86.25,181.65
0134-XWXCE,No,Femenino,1,No,No,44,Sí,No,DSL,No,No,Sí,Sí,Sí,Sí,Anual,No,Transferencia bancaria (automática),74.85,3268.05
0135-NMXAP,Sí,Femenino,0,No,No,12,Sí,Sí,Fiber optic,No,Sí,No,No,Sí,No,Mensual,Yes,Transferencia bancaria (automática),89.75,1052.4
0136-IFMYD,No,Masculino,1,Sí,No,69,Sí,Sí,Fiber optic,No,Sí,Sí,Sí,Sí,Sí,Bienal,Yes,Cheque electrónico,109.95,7634.25
0137-OCGAB,Sí,Femenino,0,No,No,1,Sí,Sí,Fiber optic,No,Sí,No,No,No,No,Mensual,Yes,Cheque enviado por correo,80.2,80.2
0137-UDEUO,Sí,Femenino,0,No,No,3,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque enviado por correo,19.85,63.75
0139-IVFJG,No,Femenino,0,Sí,No,2,Sí,No,Fiber optic,Sí,Sí,No,No,Sí,No,Mensual,No,Cheque electrónico,90.35,190.5
0141-YEAYS,No,Femenino,1,No,No,27,Sí,Sí,Fiber optic,No,Sí,Sí,No,No,No,Mensual,Yes,Transferencia bancaria (automática),86.45,2401.05
0142-GVYSN,No,Masculino,0,No,No,26,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Yes,Cheque electrónico,20.3,511.25
0147-ESWWR,No,Femenino,1,Sí,No,39,Sí,Sí,Fiber optic,No,No,No,Sí,Sí,Sí,Mensual,Yes,Cheque electrónico,101.25,3949.15
0148-DCDOS,Sí,Masculino,0,No,No,25,Sí,Sí,Fiber optic,No,No,No,No,Sí,Sí,Mensual,Yes,Transferencia bancaria (automática),94.7,2362.1
0151-ONTOV,Sí,Femenino,0,No,No,1,Sí,No,Fiber optic,No,No,No,No,No,No,Mensual,No,Cheque enviado por correo,70.9,70.9
0156-FVPTA,Sí,Masculino,0,Sí,No,22,Sí,No,DSL,Sí,No,No,Sí,No,No,Mensual,Yes,Cheque electrónico,54.2,1152.7
0164-APGRB,No,Femenino,0,No,No,72,Sí,Sí,Fiber optic,Sí,Sí,Sí,Sí,Sí,Sí,Bienal,Yes,Cheque electrónico,114.9,8496.7
0164-XAIRP,No,Femenino,0,No,No,24,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bienal,Yes,Transferencia bancaria (automática),19.55,470.2
0168-XZKBB,No,Femenino,0,Sí,No,19,Sí,Sí,Fiber optic,No,No,No,No,Sí,No,Mensual,Yes,Cheque electrónico,86.85,1564.4
0174-QRVVY,No,Masculino,0,Sí,Sí,71,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bienal,No,Tarjeta de crédito (automático),25.35,1847.55
0177-PXBAT,No,Masculino,1,Sí,No,33,Sí,Sí,Fiber optic,Sí,No,Sí,Sí,Sí,Sí,Mensual,Yes,Transferencia bancaria (automática),109.9,3694.7
0178-CIIKR,No,Femenino,0,No,No,3,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque enviado por correo,19.95,58.0
0178-SZBHO,No,Masculino,0,Sí,Sí,47,Sí,Sí,Fiber optic,No,Sí,No,No,Sí,No,Mensual,No,Cheque electrónico,87.2,4017.45
0181-RITDD,No,Masculino,0,Sí,Sí,62,Sí,No,Fiber optic,Sí,Sí,Sí,Sí,Sí,Sí,Bienal,No,Cheque enviado por correo,108.15,6825.65
0186-CAERR,No,Masculino,0,No,No,71,Sí,Sí,Fiber optic,Sí,Sí,Sí,Sí,Sí,Sí,Anual,Yes,Transferencia bancaria (automática),116.3,8309.55
0187-QSXOE,No,Masculino,1,Sí,No,7,Sí,No,Fiber optic,No,No,No,No,Sí,Sí,Mensual,Yes,Cheque electrónico,89.0,605.45
0187-WZNAB,No,Femenino,0,Sí,Sí,27,Sí,No,Fiber optic,Sí,No,No,No,No,No,Mensual,No,Cheque enviado por correo,74.4,1972.35
0188-GWFLE,No,Masculino,0,No,No,2,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Cheque enviado por correo,20.05,33.7
0191-EQUUH,No,Femenino,0,No,Sí,25,No,Sin servicio de teléfono,DSL,Sí,No,No,Sí,No,No,Bienal,No,Transferencia bancaria (automática),35.05,844.45
0191-ZHSKZ,No,Masculino,1,No,No,30,Sí,No,DSL,Sí,Sí,No,No,Sí,Sí,Mensual,Yes,Cheque electrónico,74.75,2111.3
0193-ESZXP,Sí,Femenino,1,Sí,No,58,Sí,No,Fiber optic,Sí,Sí,No,Sí,Sí,Sí,Anual,Yes,Tarjeta de crédito (automático),105.5,6205.5
0195-IESCP,Sí,Masculino,0,Sí,No,10,Sí,Sí,Fiber optic,No,No,No,No,No,Sí,Mensual,Yes,Cheque electrónico,85.25,855.3
0196-JTUQI,No,Femenino,0,No,No,9,Sí,Sí,Fiber optic,No,No,No,No,No,No,Mensual,Yes,Tarjeta de crédito (automático),75.2,633.85
0196-VULGZ,Sí,Femenino,1,Sí,No,6,Sí,Sí,Fiber optic,No,No,No,No,No,Sí,Mensual,Yes,Cheque electrónico,84.35,474.9
0197-PNKNK,No,Femenino,0,Sí,Sí,69,Sí,Sí,Fiber optic,Sí,No,Sí,No,No,No,Anual,No,Transferencia bancaria (automática),84.45,5848.6
0201-MIBOL,No,Femenino,1,No,No,66,Sí,Sí,Fiber optic,Sí,No,No,No,Sí,Sí,Bienal,Yes,Transferencia bancaria (automática),102.4,6471.85
0201-OAMXR,Sí,Femenino,0,No,No,70,Sí,Sí,Fiber optic,Sí,Sí,Sí,Sí,Sí,Sí,Anual,No,Tarjeta de crédito (automático),115.55,8127.6
0203-HHYIJ,Sí,Masculino,0,No,No,25,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Transferencia bancaria (automática),25.3,676.35
0206-OYVOC,No,Femenino,0,Sí,Sí,46,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bienal,Yes,Cheque enviado por correo,19.25,864.2
0206-TBWLC,No,Femenino,0,Sí,No,54,Sí,Sí,Fiber optic,Sí,Sí,Sí,Sí,Sí,Sí,Anual,Yes,Cheque enviado por correo,114.65,6049.5
0207-MDKNV,Sí,Femenino,0,No,No,15,Sí,No,Fiber optic,Sí,No,Sí,Sí,Sí,Sí,Mensual,No,Cheque electrónico,105.1,1582.75
0208-BPQEJ,No,Femenino,0,Sí,Sí,12,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Transferencia bancaria (automática),19.4,198.1
0212-ISBBF,No,Femenino,0,No,No,22,No,Sin servicio de teléfono,DSL,No,Sí,No,No,Sí,Sí,Mensual,Yes,Cheque electrónico,50.35,1098.85
0214-JHPFW,No,Femenino,0,Sí,No,70,No,Sin servicio de teléfono,DSL,No,Sí,Sí,Sí,Sí,Sí,Bienal,No,Transferencia bancaria (automática),57.8,4039.3
0215-BQKGS,No,Masculino,0,No,No,30,Sí,No,Fiber optic,Sí,Sí,Sí,No,No,No,Mensual,Yes,Tarjeta de crédito (automático),84.3,2438.6
0218-QNVAS,No,Masculino,0,Sí,Sí,71,Sí,Sí,Fiber optic,No,Sí,No,No,Sí,Sí,Anual,No,Transferencia bancaria (automática),100.55,7113.75
0219-QAERP,No,Masculino,0,Sí,No,30,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,No,Tarjeta de crédito (automático),19.8,576.65
0219-YTZUE,Sí,Masculino,0,Sí,Sí,4,Sí,Sí,Fiber optic,No,Sí,Sí,No,No,No,Mensual,Yes,Transferencia bancaria (automática),84.8,371.9
0220-EBGCE,Sí,Masculino,0,No,No,2,Sí,No,Fiber optic,No,No,Sí,No,No,Sí,Mensual,Yes,Cheque electrónico,85.85,167.3
0221-NAUXK,No,Masculino,0,No,Sí,10,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Anual,Yes,Transferencia bancaria (automática),19.95,219.5
0221-WMXNQ,No,Masculino,1,No,No,4,Sí,No,Fiber optic,Sí,No,No,No,No,No,Mensual,No,Cheque electrónico,75.35,273.4
0222-CNVPT,No,Masculino,1,No,No,52,No,Sin servicio de teléfono,DSL,Sí,No,No,No,Sí,Sí,Mensual,Yes,Tarjeta de crédito (automático),48.8,2555.05
0224-HJAPT,Sí,Masculino,0,No,No,5,Sí,Sí,DSL,No,No,No,No,No,No,Mensual,No,Cheque electrónico,47.15,223.15
0224-NIJLP,No,Masculino,0,Sí,Sí,8,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Bienal,No,Cheque enviado por correo,20.15,165.5
0224-RLWWD,No,Femenino,1,No,No,2,Sí,No,DSL,No,No,No,No,No,No,Mensual,Yes,Cheque electrónico,44.3,89.3
0225-ZORZP,No,Masculino,0,No,No,3,Sí,No,Fiber optic,No,Sí,No,No,No,Sí,Mensual,No,Cheque electrónico,84.3,235.05
0228-MAUWC,No,Masculino,0,No,No,19,Sí,Sí,DSL,No,No,Sí,Sí,No,No,Mensual,No,Cheque electrónico,59.55,1144.6
0229-LFJAF,No,Masculino,0,No,No,72,Sí,Sí,DSL,Sí,Sí,Sí,Sí,No,No,Bienal,No,Transferencia bancaria (automática),69.65,4908.25
0230-UBYPQ,No,Masculino,1,Sí,No,63,No,Sin servicio de teléfono,DSL,Sí,No,No,Sí,No,No,Anual,No,Transferencia bancaria (automática),36.1,2298.9
0230-WEQUW,No,Masculino,0,Sí,No,66,No,Sin servicio de teléfono,DSL,Sí,Sí,Sí,Sí,Sí,No,Bienal,Yes,Transferencia bancaria (automática),56.6,3789.2
0231-LXVAP,Sí,Masculino,0,No,No,1,Sí,No,Fiber optic,No,No,No,Sí,No,No,Mensual,Yes,Cheque electrónico,75.9,75.9
0233-FTHAV,No,Femenino,0,No,No,60,Sí,Sí,Fiber optic,No,No,Sí,No,No,No,Anual,Yes,Transferencia bancaria (automática),79.2,4765.0
0234-TEVTT,No,Femenino,0,Sí,Sí,48,No,Sin servicio de teléfono,DSL,Sí,No,Sí,No,No,Sí,Anual,No,Tarjeta de crédito (automático),45.0,2196.3
0235-KGSLC,Sí,Femenino,0,No,No,1,Sí,No,Fiber optic,No,No,Sí,No,Sí,No,Mensual,Yes,Tarjeta de crédito (automático),85.55,85.55
0236-HFWSV,Sí,Masculino,0,No,No,15,Sí,Sí,Fiber optic,No,No,No,No,Sí,Sí,Mensual,Yes,Cheque electrónico,93.35,1444.65
0237-YFUTL,No,Femenino,0,Sí,No,50,Sí,Sí,Fiber optic,Sí,Sí,No,Sí,Sí,Sí,Mensual,Yes,Transferencia bancaria (automática),109.65,5405.8
0238-WHBIQ,No,Masculino,0,Sí,Sí,72,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,Sí,Bienal,No,Tarjeta de crédito (automático),89.7,6339.3
0239-OXEXL,No,Femenino,0,No,No,46,Sí,Sí,Fiber optic,Sí,Sí,No,No,No,No,Mensual,No,Cheque enviado por correo,84.25,3847.6
0244-LGNFY,No,Femenino,0,Sí,Sí,72,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,Sí,Bienal,No,Transferencia bancaria (automática),92.65,6733.0
